38:1,144,33,1,0
38:1,144,43,127,0
38:1,144,60,104,0
39:1,128,33,64,0
39:1,128,43,64,0
39:1,128,60,64,0
39:1,144,33,1,0
39:1,144,43,127,0
39:1,128,33,64,0
39:1,128,43,64,0
39:1,144,24,61,0
39:1,144,33,1,0
40:1,128,24,64,0
40:1,128,33,64,0
40:1,144,49,127,0
40:1,144,33,1,0
40:1,128,49,64,0
40:1,128,33,64,0
40:1,144,39,127,0
40:1,144,49,127,0
40:1,144,33,1,0
41:1,128,39,64,0
41:1,128,49,64,0
41:1,128,33,64,0
41:1,144,39,127,0
41:1,144,49,127,0
41:1,144,33,1,0
41:1,128,39,64,0
41:1,128,49,64,0
41:1,128,33,64,0
41:1,144,39,127,0
41:1,144,49,127,0
41:1,128,39,64,0
41:1,128,49,64,0
41:1,144,39,127,0
42:1,128,39,64,0
42:1,144,39,127,0
42:1,128,39,64,0
42:1,144,61,127,0
42:1,144,39,127,0
43:1,128,61,64,0
43:1,128,39,64,0
43:1,144,53,1,0
43:1,144,61,127,0
43:1,128,53,64,0
43:1,128,61,64,0
43:1,144,53,1,0
43:1,144,61,124,0
44:1,128,53,64,0
44:1,128,61,64,0
44:1,144,53,1,0
44:1,144,61,124,0
44:1,128,53,64,0
44:1,128,61,64,0
44:1,144,53,1,0
44:1,144,61,124,0
45:1,128,53,64,0
45:1,128,61,64,0
46:1,144,39,1,0
46:1,128,39,64,0
46:1,144,39,1,0
47:1,128,39,64,0
47:1,144,39,1,0
47:1,128,39,64,0
48:1,144,41,1,0
48:1,128,41,64,0
48:1,144,41,1,0
49:1,128,41,64,0
49:1,144,41,1,0
49:1,128,41,64,0
49:1,144,57,1,0
49:1,128,57,64,0
49:1,144,57,1,0
50:1,128,57,64,0
50:1,144,57,1,0
50:1,128,57,64,0
50:1,144,35,94,0
50:1,144,57,1,0
51:1,128,35,64,0
51:1,128,57,64,0
51:1,144,35,94,0
51:1,144,57,1,0
51:1,128,35,64,0
51:1,128,57,64,0
51:1,144,57,1,0
52:1,128,57,64,0
52:1,144,57,1,0
52:1,128,57,64,0
52:1,144,57,1,0
53:1,128,57,64,0
53:1,144,37,103,0
53:1,144,57,1,0
53:1,128,37,64,0
53:1,128,57,64,0
53:1,144,37,103,0
53:1,144,57,1,0
54:1,128,37,64,0
54:1,128,57,64,0
54:1,144,59,1,0
54:1,144,37,103,0
54:1,144,57,1,0
54:1,128,59,64,0
54:1,128,37,64,0
54:1,128,57,64,0
54:1,144,59,1,0
54:1,144,37,103,0
54:1,144,57,1,0
54:1,128,59,64,0
54:1,128,37,64,0
54:1,128,57,64,0
54:1,144,54,103,0
54:1,144,59,1,0
54:1,144,37,103,0
54:1,144,57,1,0
55:1,128,54,64,0
55:1,128,59,64,0
55:1,128,37,64,0
55:1,128,57,64,0
55:1,144,54,103,0
55:1,144,59,1,0
55:1,144,37,103,0
55:1,128,54,64,0
55:1,128,59,64,0
55:1,128,37,64,0
55:1,144,54,103,0
55:1,144,59,1,0
56:1,128,54,64,0
56:1,128,59,64,0
56:1,144,54,103,0
56:1,144,59,1,0
56:1,128,54,64,0
56:1,128,59,64,0
56:1,144,54,103,0
56:1,144,59,1,0
57:1,128,54,64,0
57:1,128,59,64,0
57:1,144,54,103,0
57:1,144,59,1,0
57:1,128,54,64,0
57:1,128,59,64,0
57:1,144,54,103,0
57:1,144,59,1,0
58:1,128,54,64,0
58:1,128,59,64,0
58:1,144,54,103,0
58:1,144,59,1,0
58:1,128,54,64,0
58:1,128,59,64,0
